reg_id	sdate	stime
135298	2022-01-10	10:30
135873	2022-01-10	13:30
135874	2022-01-10	14:45
135875	2022-01-10	15:50
135876	2022-01-10	17:12
135877	2022-01-10	18:35
135880	2022-01-10	23:45
157690	2022-01-11	02:45
135841	2022-01-11	04:15
157752	2022-01-11	07:15
135852	2022-01-11	09:35
135583	2022-01-11	11:55
157261	2022-01-11	14:35
135806	2022-01-11	16:55
135800	2022-01-11	18:55
135809	2022-01-11	21:40
135632	2022-01-12	13:50
135642	2022-01-12	16:40
135399	2022-01-12	23:10
135629	2022-01-13	03:10
	2022-01-13	08:25
135918	2022-01-13	10:15
135915	2022-01-13	11:50
135913	2022-01-13	13:05
135920	2022-01-13	16:00
135863	2022-01-13	21:30
135862	2022-01-14	03:00
135846	2022-01-14	07:55
135844	2022-01-14	09:10
	2022-01-14	10:30
157261	2022-01-28	16:40
135298	2022-02-08	10:00
135873	2022-02-08	12:45
135876	2022-02-08	15:20
135877	2022-02-08	16:40
135875	2022-02-08	19:10
135880	2022-02-08	23:30
157752	2022-02-09	04:15
135583	2022-02-09	07:10
157261	2022-02-09	10:00
135913	2022-02-09	16:10
135628	2022-02-09	21:50
135629	2022-02-10	01:40
135399	2022-02-10	05:10
135630	2022-02-10	08:45
135642	2022-02-10	11:40
135647	2022-02-10	14:30
135632	2022-02-10	17:30
135402	2022-02-10	20:30
135633	2022-02-11	02:40
135634	2022-02-11	05:20
	2022-02-11	13:30
	2022-02-11	17:35
135636	2022-02-11	20:45
135637	2022-02-12	01:40
135604	2022-02-12	05:30
135605	2022-02-12	09:15
135404	2022-02-12	12:05
135610	2022-02-12	15:45
135615	2022-02-12	19:30
135616	2022-02-12	22:50
135622	2022-02-13	03:00
135625	2022-02-13	07:50
135624	2022-02-13	11:00
135420	2022-02-13	19:00
135626	2022-02-14	00:05
135406	2022-02-14	05:00
135657	2022-02-14	10:00
135661	2022-02-14	14:05
135662	2022-02-14	18:55
135638	2022-02-15	05:10
135403	2022-02-15	08:00
135403	2022-03-17	07:30
135638	2022-03-17	10:45
135662	2022-03-17	18:40
135657	2022-03-18	00:50
135406	2022-03-18	07:20
135420	2022-03-18	18:00
135616	2022-03-19	00:15
135404	2022-03-19	06:10
135604	2022-03-19	12:30
135636	2022-03-19	20:45
135402	2022-03-20	05:45
135632	2022-03-20	09:20
135642	2022-03-20	12:30
135399	2022-03-20	18:40
135629	2022-03-20	22:20
135913	2022-03-21	07:15
157261	2022-03-21	17:30
135583	2022-03-21	20:15
157752	2022-03-21	23:30
135880	2022-03-22	04:30
135874	2022-03-22	08:00
135876	2022-03-22	09:15
135877	2022-03-22	10:45
135873	2022-03-22	16:00
135298	2022-03-22	19:45
135298	2022-04-20	08:00
135873	2022-04-20	11:30
135877	2022-04-20	14:35
135876	2022-04-20	16:55
135875	2022-04-20	18:00
